SKU,DESCRIPTION,DIMENSIONS (W X D X H),WGT,PRICE CND,
BAS-P-TWN-XX,TWIN BASIC BED COMPLETE (P-SERIES),(Bed) 42.4 x 76 x 13.7,73.7,$177.00,
PF-BAS-TWN-XX,Basic Twin Footboard,(Box 1) 15.9 x 45.3 x 2.4,15.4,$37.00,
PF-BAS-TWN-XX,Basic Twin Footboard,(Box 2) 15.9 x 45.3 x 2.4,15.4,$37.00,
KPQ-TWN-XX,Twin Dual Series Rails,(Box 3) 7.7 x78 x 3,22,$65.00,
PS-TWN,Twin Standard Slats,(Box 4) 8.5 x41.3 x  4.5,20.9,$38.00,
,,,,,
BAS-P-FUL-XX,FULL BASIC BED COMPLETE (P-SERIES),(Bed) 57.3 x 76 x 13.7,89.3,$206.00,
PF-BAS-FUL-XX,Basic Full Footboard,(Box 1) 15.9 x 60.6 x  2.4,17.6,$44.00,
PF-BAS-FUL-XX,Basic Full Footboard,(Box 2) 15.9 x 60.6 x 2.4,17.6,$44.00,
KPQ-FUL-XX,Full Dual Series Rails,(Box 3) 7.7 x 78 x 4.5,26.5,$70.00,
PS-FUL,Full Standard Slats,(Box 4) 8.5 x 56.3 x  4.5,27.6,$48.00,
,,,,,
BAS-P-QEN-XX,QUEEN BASIC BED COMPLETE (P-SERIES),(Bed) 63.3 x 80.6 x 13.7,101.4,$223.00,
PF-BAS-QEN-XX,Basic Queen Footboard,(Box 1) 15.9 x 65.9 x  2.4,19.8,$46.00,
PF-BAS-QEN-XX,Basic Queen Footboard,(Box 2) 15.9 x 65.9 x  2.4,19.8,$46.00,
KPQ-QEN/EKG-XX,Queen/EKG Dual Series Rails,(Box 3) 7.7 x 82.9 x 4.5,28.7,$77.00,
PS-QEN,Queen Standard Slats,(Box 4) 8.5 x 62.2 x 4.5,33.1,$54.00,
,,,,,
BAS-P-EKG-XX,EASTERN KING BASIC BED COMPLETE (P-SERIES),(Bed) 79.4 x 80.6 x 13.7,124.5,$255.00,
PF-BAS-EKG-XX,Basic Eastern King Footboard,(Box 1) 15.9 x 84.3 x  2.4,23.1,$55.00,
PF-BAS-EKG-XX,Basic Eastern King Footboard,(Box 2) 15.9 x 84.3 x  2.4,23.1,$55.00,
KPQ-QEN/EKG-XX,Queen/EKG Dual Series Rails,(Box 3) 7.7 x 82.9 x  4.5,28.7,$77.00,
PS-EKG,Eastern King Standard Slats,(Box 4) 8.5 x 80.3 x  4.5,49.6,$68.00,
,,,,,
BAS-K-TWN-XX,TWIN BASIC BED COMPLETE (K-SERIES),(Bed) 42.4 x 76 x 16.3,73.7,$209.00,
KF-BAS-TWN-XX,K-Series Basic Twin Footboard With Panel,(Box 1) 19.1 x 45.3 x  2,15.4,$53.00,
KF-BAS-TWN-XX,K-Series Basic Twin Footboard With Panel,(Box 2) 19.1 x 45.3 x 2,15.4,$53.00,
KPQ-TWN-XX,Twin Dual Series Rails,(Box 3) 7.7 x78 x 3,22,$65.00,
PS-TWN,Twin Standard Slats,(Box 4) 8.5 x41.3 x  4.5,20.9,$38.00,
,,,,,
BAS-K-FUL-XX,FULL BASIC BED COMPLETE (K-SERIES),(Bed) 57.3 x 76 x 16.3,93.7,$254.00,
KF-BAS-FUL-XX,K-Series Basic Full Footboard With Panel,(Box 1) 19.1 x 60.2 x 2.4,19.8,$68.00,
KF-BAS-FUL-XX,K-Series Basic Full Footboard With Panel,(Box 2) 19.1 x 60.2 x 2.4,19.8,$68.00,
KPQ-FUL-XX,Full Dual Series Rails,(Box 3) 7.7 x 78 x 4.5,26.5,$70.00,
PS-FUL,Full Standard Slats,(Box 4) 8.5 x56.3 x  4.5,27.6,$48.00,
,,,,,
BAS-K-QEN-XX,QUEEN BASIC BED COMPLETE (K-SERIES),(Bed) 63.3 x 80.6 x 16.3,114.8,$277.00,
KF-BAS-QEN-XX,K-Series Basic Queen Footboard With Panel,(Box 1) 19.7 x 66.7 x 2.4,26.5,$73.00,
KF-BAS-QEN-XX,K-Series Basic Queen Footboard With Panel,(Box 2) 19.7 x 66.7 x 2.4,26.5,$73.00,
KPQ-QEN/EKG-XX,Queen/EKG Dual Series Rails,(Box 3) 7.7 x 82.9 x 4.5,28.7,$77.00,
PS-QEN,Queen Standard Slats,(Box 4) 8.5 x 62.2 x 4.5,33.1,$54.00,
,,,,,
BAS-K-EKG-XX,EASTERN KING BASIC BED COMPLETE (K-SERIES),(Bed) 79.4 x 80.6 x 16.3,144.5,$305.00,
KF-BAS-EKG-XX,K-Series Basic EKG Footboard With Panel,(Box 1) 19.1 x 81.7 x 2.4,33.1,$80.00,
KF-BAS-EKG-XX,K-Series Basic EKG Footboard With Panel,(Box 2) 19.1 x 81.7 x 2.4,33.1,$80.00,
KPQ-QEN/EKG-XX,Queen/EKG Dual Series Rails,(Box 3) 7.7 x 82.9 x  4.5,28.7,$77.00,
PS-EKG,Eastern King Standard Slats,(Box 4) 8.5 x 80.3 x  4.5,49.6,$68.00,
,,,,,
BPE-P-TWN-XX,TWIN BLACKPEPPER COMPLETE BED (P-SERIES),(Bed) 42.4 x 76 x 46.3,98,$278.00,
PH-BPE-TWN-XX,Blackpepper Twin Headboard - Dual series,(Box 1) 45.5 x 49.6 x  2.8,39.7,$138.00,
PF-BAS-TWN-XX,Basic Twin Footboard,(Box 2) 15.9 x 84.3 x  2.4,15.4,$37.00,
KPQ-TWN-XX,Twin Dual Series Rails,(Box 3) 7.7 x 82.9 x  4.5,22,$65.00,
PS-TWN,Twin Standard Slats,(Box 4) 8.5 x 80.3 x  4.5,20.9,$38.00,
,,,,,
BPE-P-FUL-XX,FULL BLACKPEPPER COMPLETE BED (P-SERIES),(Bed) 57.3 x 76 x 46.3,115.8,$339.00,
PH-BPE-FUL-XX,Blackpepper Full Headboard - Dual series,(Box 1) 49.6 x  60.5 x 2.8,44.1,$177.00,
PF-BAS-FUL-XX,Basic Full Footboard,(Box 2) 15.9 x 60.6 x 2.4,17.6,$44.00,
KPQ-FUL-XX,Full Dual Series Rails,(Box 3) 7.7 x 78 x 4.5,26.5,$70.00,
PS-FUL,Full Standard Slats,(Box 4) 8.5 x56.3 x  4.5,27.6,$48.00,
,,,,,
BPE-P-QEN-XX,QUEEN BLACKPEPPER COMPLETE BED (P-SERIES),(Bed) 63.3 x 80.6 x 46.3,134.5,$386.00,
PH-BPE-QEN-XX,Blackpepper Queen Headboard - Dual series,(Box 1) 49.6 x 66.5 x 2.8,52.9,$209.00,
PF-BAS-QEN-XX,Basic Queen Footboard,(Box 2) 15.9 x 65.9 x  2.4,19.8,$46.00,
KPQ-QEN/EKG-XX,Queen/EKG Dual Series Rails,(Box 3) 7.7 x 82.9 x 4.5,28.7,$77.00,
PS-QEN,Queen Standard Slats,(Box 4) 8.5 x 62.2 x 4.5,33.1,$54.00,
,,,,,
BPE-P-EKG-XX,EASTERN KING BLACKPEPPER COMPLETE BED (P-SERIES),(Bed) 79.4 x 80.6 x 46.3,154.3,$489.00,
PH-BPE-EKG-XX,Blackpepper Eastern King Headboard - Dual series,(Box 1) 49.6 x 78.5 x 2.8,52.9,$289.00,
PF-BAS-EKG-XX,Basic Eastern King Footboard,(Box 2) 15.9 x 84.3 x  2.4,23.1,$55.00,
KPQ-QEN/EKG-XX,Queen/EKG Dual Series Rails,(Box 3) 7.7 x 82.9 x  4.5,28.7,$77.00,
PS-EKG,Eastern King Standard Slats,(Box 4) 8.5 x 80.3 x  4.5,49.6,$68.00,
,,,,,
BPE-K-TWN-XX,TWIN BLACKPEPPER COMPLETE BED (K-SERIES),(Bed) 42.4 x 76 x 46.3,98,$294.00,
PH-BPE-TWN-XX,Blackpepper Twin Headboard - Dual series,(Box 1) 45.5 x 49.6 x  2.8,39.7,$138.00,
KF-BAS-TWN-XX,K-Series Basic Twin Footboard With Panel,(Box 2) 19.1 x 45.3 x 2,15.4,$53.00,
KPQ-TWN-XX,Twin Dual Series Rails,(Box 3) 7.7 x78 x 3,22,$65.00,
PS-TWN,Twin Standard Slats,(Box 4) 8.5 x41.3 x  4.5,20.9,$38.00,
,,,,,
BPE-K-FUL-XX,FULL BLACKPEPPER COMPLETE BED (K-SERIES),(Bed) 57.3 x 76 x 46.3,118,$363.00,
PH-BPE-FUL-XX,Blackpepper Full Headboard - Dual series,(Box 1) 49.6 x  60.5 x 2.8,44.1,$177.00,
KF-BAS-FUL-XX,K-Series Basic Full Footboard With Panel,(Box 2) 19.1 x 60.2 x 2.4,19.8,$68.00,
KPQ-FUL-XX,Full Dual Series Rails,(Box 3) 7.7 x 78 x 4.5,26.5,$70.00,
PS-FUL,Full Standard Slats,(Box 4) 8.5 x56.3 x  4.5,27.6,$48.00,
,,,,,
BPE-K-QEN-XX,QUEEN BLACKPEPPER COMPLETE BED (K-SERIES),(Bed) 63.3 x 80.6 x 46.3,141.2,$413.00,
PH-BPE-QEN-XX,Blackpepper Queen Headboard - Dual series,(Box 1) 49.6 x 66.5 x 2.8,52.9,$209.00,
KF-BAS-QEN-XX,K-Series Basic Queen Footboard With Panel,(Box 1) 19.7 x 66.7 x 2.4,26.5,$73.00,
KPQ-QEN/EKG-XX,Queen/EKG Dual Series Rails,(Box 3) 7.7 x 82.9 x 4.5,28.7,$77.00,
PS-QEN,Queen Standard Slats,(Box 4) 8.5 x 62.2 x 4.5,33.1,$54.00,
,,,,,
BPE-K-EKG-XX,EASTERN KING BLACKPEPPER COMPLETE BED (K-SERIES),(Bed) 79.4 x 80.6 x 46.3,164.3,$514.00,
PH-BPE-EKG-XX,Blackpepper Eastern King Headboard - Dual series,(Box 1) 49.6 x 78.5 x 2.8,52.9,$289.00,
KF-BAS-EKG-XX,K-Series Basic EKG Footboard With Panel,(Box 1) 19.1 x 81.7 x 2.4,33.1,$80.00,
KPQ-QEN/EKG-XX,Queen/EKG Dual Series Rails,(Box 3) 7.7 x 82.9 x  4.5,28.7,$77.00,
PS-EKG,Eastern King Standard Slats,(Box 4) 8.5 x 80.3 x  4.5,49.6,$68.00,
,,,,,
CHA-P-TWN-XX,TWIN CHAMELEON COMPLETE BED (P-SERIES),(Bed) 42.4 x 76 x 45.3,92.5,$285.00,
PH-CHA-TWN-XX,Twin Chameleon Headboard - Dual series,(Box 1) 45.7 x 48.4 x 4.7,34.2,$145.00,
PF-BAS-TWN-XX,Basic Twin Footboard,(Box 2) 15.9 x 84.3 x  2.4,15.4,$37.00,
KPQ-TWN-XX,Twin Dual Series Rails,(Box 3) 7.7 x 82.9 x  4.5,22,$65.00,
PS-TWN,Twin Standard Slats,(Box 4) 8.5 x 80.3 x  4.5,20.9,$38.00,
,,,,,
CHA-P-FUL-XX,FULL CHAMELEON COMPLETE BED (P-SERIES),(Bed) 57.3 x 76 x 45.3,120.2,$338.00,
PH-CHA-FUL-XX,Full Chameleon Headboard - Dual series,(Box 1) 48.4 x 60.6 x 4.7,48.5,$176.00,
PF-BAS-FUL-XX,Basic Full Footboard,(Box 2) 15.9 x 60.6 x 2.4,17.6,$44.00,
KPQ-FUL-XX,Full Dual Series Rails,(Box 3) 7.7 x 78 x 4.5,26.5,$70.00,
PS-FUL,Full Standard Slats,(Box 4) 8.5 x56.3 x  4.5,27.6,$48.00,
,,,,,
CHA-P-QEN-XX,QUEEN CHAMELEON COMPLETE BED (P-SERIES),(Bed) 63.3 x 80.6 x 45.3,136.7,$371.00,
PH-CHA-QEN-XX,Queen Chameleon Headboard - Dual series,(Box 1) 48.4 x 66.5 x 4.7,55.1,$194.00,
PF-BAS-QEN-XX,Basic Queen Footboard,(Box 2) 15.9 x 65.9 x  2.4,19.8,$46.00,
KPQ-QEN/EKG-XX,Queen/EKG Dual Series Rails,(Box 3) 7.7 x 82.9 x 4.5,28.7,$77.00,
PS-QEN,Queen Standard Slats,(Box 4) 8.5 x 62.2 x 4.5,33.1,$54.00,
,,,,,
CHA-P-EKG-XX,EASTERN KING CHAMELEON COMPLETE BED (P-SERIES),(Bed) 79.4 x 80.6 x 45.3,163.1,$438.00,
PH-CHA-EKG-XX,Eastern King Chameleon Headboard - Dual series,(Box 1) 48.4 x 82.7 x 4.7,61.7,$238.00,
PF-BAS-EKG-XX,Basic Eastern King Footboard,(Box 2) 15.9 x 84.3 x  2.4,23.1,$55.00,
KPQ-QEN/EKG-XX,Queen/EKG Dual Series Rails,(Box 3) 7.7 x 82.9 x  4.5,28.7,$77.00,
PS-EKG,Eastern King Standard Slats,(Box 4) 8.5 x 80.3 x  4.5,49.6,$68.00,
,,,,,
CHA-K-TWN-XX,TWIN CHAMELEON COMPLETE BED (K-SERIES),(Bed) 42.4 x 76 x 45.3,92.5,$301.00,
PH-CHA-TWN-XX,Twin Chameleon Headboard - Dual series,(Box 1) 45.7 x 48.4 x 4.7,34.2,$145.00,
KF-BAS-TWN-XX,K-Series Basic Twin Footboard With Panel,(Box 2) 19.1 x 45.3 x 2,15.4,$53.00,
KPQ-TWN-XX,Twin Dual Series Rails,(Box 3) 7.7 x78 x 3,22,$65.00,
PS-TWN,Twin Standard Slats,(Box 4) 8.5 x41.3 x  4.5,20.9,$38.00,
,,,,,
CHA-K-FUL-XX,FULL CHAMELEON COMPLETE BED (K-SERIES),(Bed) 57.3 x 76 x 45.3,122.4,$362.00,
PH-CHA-FUL-XX,Full Chameleon Headboard - Dual series,(Box 1) 48.4 x 60.6 x 4.7,48.5,$176.00,
KF-BAS-FUL-XX,K-Series Basic Full Footboard With Panel,(Box 2) 19.1 x 60.2 x 2.4,19.8,$68.00,
KPQ-FUL-XX,Full Dual Series Rails,(Box 3) 7.7 x 78 x 4.5,26.5,$70.00,
PS-FUL,Full Standard Slats,(Box 4) 8.5 x56.3 x  4.5,27.6,$48.00,
,,,,,
CHA-K-QEN-XX,QUEEN CHAMELEON COMPLETE BED (K-SERIES),(Bed) 63.3 x 80.6 x 45.3,143.4,$398.00,
PH-CHA-QEN-XX,Queen Chameleon Headboard - Dual series,(Box 1) 48.4 x 66.5 x 4.7,55.1,$194.00,
KF-BAS-QEN-XX,K-Series Basic Queen Footboard With Panel,(Box 2) 19.7 x 66.7 x 2.4,26.5,$73.00,
KPQ-QEN/EKG-XX,Queen/EKG Dual Series Rails,(Box 3) 7.7 x 82.9 x 4.5,28.7,$77.00,
PS-QEN,Queen Standard Slats,(Box 4) 8.5 x 62.2 x 4.5,33.1,$54.00,
,,,,,
CHA-K-EKG-XX,EASTERN KING CHAMELEON COMPLETE BED (K-SERIES),(Bed) 79.4 x 80.6 x 45.3,173.1,$463.00,
PH-CHA-EKG-XX,Eastern King Chameleon Headboard - Dual series,(Box 1) 48.4 x 82.7 x 4.7,61.7,$238.00,
KF-BAS-EKG-XX,K-Series Basic EKG Footboard With Panel,(Box 2) 19.1 x 81.7 x 2.4,33.1,$80.00,
KPQ-QEN/EKG-XX,Queen/EKG Dual Series Rails,(Box 3) 7.7 x 82.9 x  4.5,28.7,$77.00,
PS-EKG,Eastern King Standard Slats,(Box 4) 8.5 x 80.3 x  4.5,49.6,$68.00,
,,,,,
CRI-P-TWN-XX,TWIN CORIANDER COMPLETE BED (P-SERIES),(Bed) 42.4 x 76 x 45.3,92.5,$316.00,
PH-CRI-TWN-XX,Twin Coriander Headboard,(Box 1) 45.7 x 48.4 x 4.7,34.2,$176.00,
PF-BAS-TWN-XX,Basic Twin Footboard,(Box 2) 15.9 x 84.3 x  2.4,15.4,$37.00,
KPQ-TWN-XX,Twin Dual Series Rails,(Box 3) 7.7 x 82.9 x  4.5,22,$65.00,
PS-TWN,Twin Standard Slats,(Box 4) 8.5 x 80.3 x  4.5,20.9,$38.00,
,,,,,
CRI-P-FUL-XX,FULL  CORIANDER COMPLETE BED (P-SERIES),(Bed) 57.3 x 76 x 45.3,120.2,$356.00,
PH-CRI-FUL-XX,Full Coriander Headboard,(Box 1) 48.4 x 60.6 x 4.7,48.5,$194.00,
PF-BAS-FUL-XX,Basic Full Footboard,(Box 2) 15.9 x 60.6 x 2.4,17.6,$44.00,
KPQ-FUL-XX,Full Dual Series Rails,(Box 3) 7.7 x 78 x 4.5,26.5,$70.00,
PS-FUL,Full Standard Slats,(Box 4) 8.5 x56.3 x  4.5,27.6,$48.00,
,,,,,
CRI-P-QEN-XX,QUEEN  CORIANDER COMPLETE BED (P-SERIES),(Bed) 63.3 x 80.6 x 45.3,136.7,$381.00,
PH-CRI-QEN-XX,Queen Coriander Headboard,(Box 1) 48.4 x 66.5 x 4.7,55.1,$204.00,
PF-BAS-QEN-XX,Basic Queen Footboard,(Box 2) 15.9 x 65.9 x  2.4,19.8,$46.00,
KPQ-QEN/EKG-XX,Queen/EKG Dual Series Rails,(Box 3) 7.7 x 82.9 x 4.5,28.7,$77.00,
PS-QEN,Queen Standard Slats,(Box 4) 8.5 x 62.2 x 4.5,33.1,$54.00,
,,,,,
CRI-P-EKG-XX,EASTERN KING CORIANDER COMPLETE BED (P-SERIES),(Bed) 79.4 x 80.6 x 45.3,163.1,$447.00,
PH-CRI-EKG-XX,Eastern King Chameleon Headboard,(Box 1) 48.4 x 82.7 x 4.7,61.7,$247.00,
PF-BAS-EKG-XX,Basic Eastern King Footboard,(Box 2) 15.9 x 84.3 x  2.4,23.1,$55.00,
KPQ-QEN/EKG-XX,Queen/EKG Dual Series Rails,(Box 3) 7.7 x 82.9 x  4.5,28.7,$77.00,
PS-EKG,Eastern King Standard Slats,(Box 4) 8.5 x 80.3 x  4.5,49.6,$68.00,
,,,,,
NUT-P-TWN-XX,TWIN NUTMEG COMPLETE BED (P-SERIES),(Bed) 43.9 x 76 x 41.3,83.7,$258.00,
PH-NUT-TWN-XX,Nutmeg Twin Headboard - Dual series,(Box 1) 43.3 x 47.8 x  4.3,25.4,$118.00,
PF-BAS-TWN-XX,Basic Twin Footboard,(Box 2) 15.9 x 84.3 x  2.4,15.4,$37.00,
KPQ-TWN-XX,Twin Dual Series Rails,(Box 3) 7.7 x 82.9 x  4.5,22,$65.00,
PS-TWN,Twin Standard Slats,(Box 4) 8.5 x 80.3 x  4.5,20.9,$38.00,
,,,,,
NUT-P-FUL-XX,FULL NUTMEG COMPLETE BED (P-SERIES),(Bed) 58.9 x 76 x 41.3,103.7,$297.00,
PH-NUT-FUL-XX,Nutmeg Full Headboard - Dual series,(Box 1) 43.3 x 62.8 x 4.3,32,$135.00,
PF-BAS-FUL-XX,Basic Full Footboard,(Box 2) 15.9 x 60.6 x 2.4,17.6,$44.00,
KPQ-FUL-XX,Full Dual Series Rails,(Box 3) 7.7 x 78 x 4.5,26.5,$70.00,
PS-FUL,Full Standard Slats,(Box 4) 8.5 x56.3 x  4.5,27.6,$48.00,
,,,,,
NUT-P-QEN-XX,QUEEN NUTMEG COMPLETE BED (P-SERIES),(Bed) 64.9 x 80.6 x 41.3,115.8,$330.00,
PH-NUT-QEN-XX,Nutmeg Queen Headboard - Dual series,(Box 1) 43.3 x 68.7 x 4.3,34.2,$153.00,
PF-BAS-QEN-XX,Basic Queen Footboard,(Box 2) 15.9 x 65.9 x  2.4,19.8,$46.00,
KPQ-QEN/EKG-XX,Queen/EKG Dual Series Rails,(Box 3) 7.7 x 82.9 x 4.5,28.7,$77.00,
PS-QEN,Queen Standard Slats,(Box 4) 8.5 x 62.2 x 4.5,33.1,$54.00,
,,,,,
NUT-P-EKG-XX,EASTERN KING NUTMEG COMPLETE BED (P-SERIES),(Bed) 80.9 x 80.6 x 41.3,143.3,$378.00,
PH-NUT-EKG-XX,Nutmeg Eastern King Headboard - Dual series,(Box 1) 43.3 x 86.2 x 4.3,41.9,$178.00,
PF-BAS-EKG-XX,Basic Eastern King Footboard,(Box 2) 15.9 x 84.3 x  2.4,23.1,$55.00,
KPQ-QEN/EKG-XX,Queen/EKG Dual Series Rails,(Box 3) 7.7 x 82.9 x  4.5,28.7,$77.00,
PS-EKG,Eastern King Standard Slats,(Box 4) 8.5 x 80.3 x  4.5,49.6,$68.00,
,,,,,
NUT-K-TWN-XX,TWIN NUTMEG COMPLETE BED (K-SERIES),(Bed) 43.9 x 76 x 41.3,83.7,$274.00,
PH-NUT-TWN-XX,Nutmeg Twin Headboard - Dual series,(Box 1) 43.3 x 47.8 x  4.3,25.4,$118.00,
KF-BAS-TWN-XX,K-Series Basic Twin Footboard With Panel,(Box 2) 19.1 x 45.3 x 2,15.4,$53.00,
KPQ-TWN-XX,Twin Dual Series Rails,(Box 3) 7.7 x78 x 3,22,$65.00,
PS-TWN,Twin Standard Slats,(Box 4) 8.5 x41.3 x  4.5,20.9,$38.00,
,,,,,
NUT-K-FUL-XX,FULL NUTMEG COMPLETE BED (K-SERIES),(Bed) 58.9 x 76 x 41.3,105.9,$321.00,
PH-NUT-FUL-XX,Nutmeg Full Headboard - Dual series,(Box 1) 43.3 x 62.8 x 4.3,32,$135.00,
