SKU,DESCRIPTION,DIMENSIONS (W X D X H),WGT,PRICE CND,
PBH-SAL-BDR,Twin/Twin Headboard and Footboard,(Box 1) 39.6 x 48.2 x 6.5,86,$200.00,
PBR-BDR,Rails/Ladder Twin/Twin Bunk,(Box 2) 14.6 x 79.3 x 5.5,77.2,$185.00,
PBS,Slats Twin/Twin Bunk,(Box 3) 9.1 x 41.3 x 8.5,57.3,$77.00,
,,,,,
,,,,,
SAL-T/F-XX,SAILBOAT TWIN/FULL BUNK,(Bed) 81.5 x 58.1 x 67.2,258,$565.00,
PBH-SAL-BDR,Twin/Full Headboard and Footboard,(Box 1) 39.6 x 48.2 x 6.5,86,$200.00,
PBR-BDR,Rails/Ladder Twin/Full Bunk,(Box 2) 14.6 x 79.3 x 5.5,77.2,$185.00,
PBS,Slats Twin/Twin Bunk,(Box 3) 9.1 x 41.3 x 8.5,57.3,$77.00,
PBX-TWN/FUL-BDR,Twin/Full Bunk Extension,(Box 4) 20.1 x 78.7 x 3.5,37.5,$103.00,
,,,,,
,,,,,
CD-CSEC-5A-XX,CHESAPEAKE 5 DRWER CHEST,39.6 x 18.5 x 47,148.8,$390.00,
,,(Box) 41.9 x 20.7 x 50.3,,,
,,,,,
CD-CSEC-6A-XX,CHESAPEAKE 6 DRAWER DRESSER,(Dresser) 57.9 x 18.5 x 32.6,136.7,$452.00,
,,(Box) 60 x 20.7 x 35.9,,,
,,,,,
CM-CSEC-6A-XX,CHESAPEAKE MIRROR,(Mirror) 38.8 x 2.5 x 40.8,35.3,$123.00,
,,(Box) 41 x 4.3 43.9,,,
,,,,,
CD-CSEC-1A-XX,CHESAPEAKE NIGHTSTAND,22.8 x 18.5 x 24.4,44.1,$153.00,
,,(Box) 25 x 20.7 x 27.7,,,
,,,,,
SPC-TRU-TWN-XX,COMPLETE TRUNDLE,(Trundle) 74.8 x 40.3 x 13.7,53.9,$195.00,
PBT1-TWN-XX,Trundle Face and Rails for Trundle,(Box 1) 15.0 x 77.6 x 3.9,33,$142.00,
PBT2-TWN-XX,Slats for Trundle,(Box 2) 6.3 x 40.6 x 5.1,20.9,$53.00,
,,,,,
,,,,,
,,,,,
PDR-TWN/FUL-BDR,CHESAPEAKE STORAGE SET OF DRAWERS TWIN/FULL,(Drawer) 75.7 x 20.6 x 13.7,123.4,$153.00,
,,(Box) 29.9 x 41.7 x 4.5,61.7,,
,,,,,
,,,,,
PDR-QEN/EKG-BDR,CHESAPEAKE STORAGE SET OF DRAWERS QEN/EKG,(Drawer) 80.2 x 20.6 x 13.7,61.7,$168.00,
,,(Box) 20.2 x 44.1 x 6.1,,,
,,,,,
SES-TWN-XX,SESAME TWIN BED,(Bed)  42.0 x 80.6 x 34.9,58.5,$114.00,
YHF1A-SES-TWN-XX,Sesame Twin Head/Foot Panels,(Box 1)   8.6 x 38.2 x 2.9,14.1,$28.00,
YHF1B-SES-TWN-XX,Sesame Twin Posts,(Box 2)   4.6 x 34.4 x 4.6,14.3,$27.00,
YR-TWN-XX,Zest Twin Rails,(Box 3)   4.9 x 76.6 x 3.0,14.3,$32.00,
YS-TWN,Zest Twin Slats,(Box 4)   9.8 x 39.1 x 2.5,15.8,$27.00,
,,,,,
SES-FUL-XX,SESAME FULL BED,(Bed) 57 x 80.6 x 34.9,80.3,$186.00,
YHF1A-SES-FUL-XX,Sesame Full Head/Foot Panels,(Box 1)   8.6 x 53.1 x 2.9,24.6,$58.00,
YHF1B-SES-FUL-XX,Sesame Full Posts,(Box 2)  4.6 x 34.4 x 4.6,14.3,$30.00,
YR-FUL-XX,Zest Full Rails,(Box 3)   5.3 x 76.6 x 3.7,18.5,$53.00,
YS-FUL,Zest Full Slats,(Box 4)   9.8 x 54.1 x 2.5,22.9,$45.00,
,,,,,
LIC-TWN-XX,LICORICE TWIN BED,(Bed)  42 x 80.6 x 40.9,78.1,$170.00, 
YHF-LIC-TWN-XX,Licorice Twin Head/Foot,(Box 1)   39.5 x 42.5 x 5,45,$111.00,
YR-TWN-XX,Zest Twin Rails,(Box 2)   4.9 x 76.6 x 3.0,17.3,$32.00,
YS-TWN,Zest Twin Slats,(Box 3)   9.8 x 39.1 x 2.5,15.8,$27.00,
,,,,,
LIC-FUL-XX,LICORICE FULL BED,(Bed)  57.2 x 79.6 x 40.9,103.9,$247.00,
YHF-LIC-FUL-XX,Licorice Full Head/Foot,(Box 1)   39.5 x 57.5 x 5.1,57.7,$149.00,
YR-FUL-XX,Zest Full Rails,(Box 2)   5.3 x 76.6 x 3.7,23.3,$53.00,
YS-FUL,Zest Full Slats,(Box 3)   9.8 x 54.1 x 2.5,22.9,$45.00,
,,,,,
MOL-TWN-XX,MOLASSES TWIN BED,(Bed)  42 x 80.6 x 38.8,70.9,$196.00,
YHF-MOL-TWN-XX,Molasses Twin Head/Foot,(Box 1)   36 x 42.5 x 5.0,37.8,$137.00,
YR-TWN-XX,Zest Twin Rails,(Box 2)   4.9 x 76.6 x 3.0,17.3,$32.00,
YS-TWN,Zest Twin Slats,(Box 3)   9.8 x 39.1 x 2.5,15.8,$27.00,
,,,,, 
MOL-FUL-XX,MOLASSES FULL BED,(Bed)  57 x 80.6 x 38.8,95.4,$268.00,
YHF-MOL-FUL-XX,Molasses Full Head/Foot,(Box 1)   36 x 57.5 x 5.1,49.2,$170.00,
YR-FUL-XX,Zest Full Rails,(Box 2)   5.3 x 76.6 x 3.7,23.3,$53.00,
YS-FUL,Zest Full Slats,(Box 3)   9.8 x 54.1 x 2.5,22.9,$45.00,
,,,,,
SAR-TWN-XX,SASPARILLA TWIN BED,(Bed)  42 x 79.6 x 37.4,71.7,$175.00,
YHF-SAR-TWN-XX,SASPARILLA Twin Head/Foot,(Box 1)   38.8 x 42.8 x 4.2,38.6,$116.00,
YR-TWN-XX,Zest Twin Rails,(Box 2)   4.9 x 76.6 x 3.0,17.3,$32.00,
YS-TWN,Zest Twin Slats,(Box 3)   9.8 x 39.1 x 2.5,15.8,$27.00,
,,,,,
SAR-FUL-XX,SASPARILLA FULL BED,(Bed)  57.2 x 79.6 x 37.4,190.7,$247.00,
YHF-SAR-FUL-XX,SASPARILLA Full Head/Foot,(Box 1)   38.8 x 57.7 x 4.2,49.3,$149.00,
YR-FUL-XX,Zest Full Rails,(Box 2)   5.3 x 76.6 x 3.7,23.3,$53.00,
YS-FUL-XX,Zest Full Slats,(Box 3)   9.8 x 54.1 x 2.5,22.9,$45.00,
,,,,,
SES-T/T-XX,SESAME TWIN/TWIN BUNK,(Bunk)  80.2 x 41.9 x 60.4,95.5,$267.00,
PBB-SES-1-XX,Sesame Twin/Twin bunk Head/Foot Panels,(Box 1)   12.2 x 38.2 x 3.7,32,$56.00,
PBB-SES-2-XX,Sesame Twin/Twin bunk Posts,(Box 2)   9.1 x 32.6 x 4.7,29.3,$48.00,
PBB-SES-3-XX,Sesame Twin/Twin rails/ladder,(Box 3)   8.4 x 76.6 x 4.5,39.7,$104.00,
PBB-SES-4,Sesame Twin/Twin Bunks Slats,(Box 4)   10.4 x 39.5 x 5,35.3,$59.00,
,,,,,
SES-T/F-XX,SESAME TWIN/FULL BUNK,(Bed)  80.2 x 56.8 x 63.6,173.4,$369.00,
YBTF1-SES-XX,Sesame Twin/Full bunk Head/Foot Panels,(Box 1)   9.1 x 35.8 x 4.7,51,$98.00,
YBTF2-SES-XX,Sesame Twin/Full bunk Posts,(Box 2)  12.2 x 53.1 x 4.4,33.7,$81.00,
YBTF3-SES-XX,Sesame Twin/Full rails/ladder,(Box 3)   8.4 x 76.6 x 4.5,50,$118.00,
YS-TWN,Zest Twin Slats,(Box 4)   9.8 x 39.1 x 2.5,15.8,$27.00,
YS-FUL,Zest Full Slats,(Box 5)  9.8 x 54.1 x 2.5,22.9,$45.00,
,,,,,
,,,,,
ZES-TRU-TWN-XX,COMPLETE TRUNDLE,(Trundle) 74.8 x 40.3 x 12.8,48.3,$114.00,
YT1-TWN-XX,TRUNDLE FACE & RAILS FOR TWIN BED & BUNKS,(Box 1) 13.2 x 75.4 x 3.5,31.3,$87.00,
YT2-TWN-XX,SLATS FOR TRUNDLE,(Box 2) 10.0 x 39.1 x 2.8,17,$27.00,
,,,,,
,,,,,
,,,,,
YDR-XX,ZEST DRAWER SET,(Drawer) 75.4 x 18.8 x 13,46.4,$124.00,
,,(Box) 20.4 x 38.1 x 3.1,,,
,,,,,
,,,,,
,,,,,
,,,,,
YCD-ZES-6A-XX,ZEST 6 DRAWER DRESSER,57 x 17.7 x 31.9,95.2,$340.00,
,,(Box) 58 x 18.4 x 32.7,,,
,,,,,
,,,,,
,,,,,
YCM-ZES-6A-XX,ZEST MIRROR,31.1 x 2.3 x 42.5,25.9,$72.00,
,,(Box) 44.1 x 32.1 x 2.3,,,
,,,,,
,,,,,
,,,,,
YCD-ZES-4A-XX,ZEST 4 DRAWER CHEST,35.4 17.7 x 40.2,82.5,$304.00,
,,(Box) 36.1 x 18.4 x 40.9,,,
,,,,,
,,,,,
,,,,,
YCD-ZES-1A-XX,ZEST NIGHTSTAND,23.6 x 15.7 x 24.6,34,$103.00,
,,(Box) 24.3 x 16.4 x 25.4,,,
,,,,,
,,,,,
YSD-ZES-XX,ZEST DESK,34.6 x 24.4 x 29.9,47.8,$155.00,
,,(Box) 32.3 x 23.8 x 4.8,,,
,,,,,
CCH-CLO-XX,CLOVE CHAIR,14.9 x 18 x 35.8,17.6,$61.00,
,,(Box) 36.8 x 17.3 x 4.1,,,
,,,,,
CLV-QEN-XX,CLOVER MURPHY CABINET COMPLETE,(Bed) 63.5 x 83.1 x 41.1,248.4,"$1,049.00",
MUR-CLV2-QEN-XX,CLOVER MURPHY CABINET ONLY,(Box 1) 27 x 66.7 x 34.4,198.4,$800.00,
MND-GMF-TRI-QEN,GEL MEMORY FOAM TRI FOLD MATTRESS ONLY,(Box 2) 63 x 11 x 11,50,$249.00,
,,,,,
,,,,,
,,,,,
,,,,,
DSY-QEN-XX,DAISY MURPHY CABINET COMPLETE,(Bed) 63.5 x 83.1 x 41.1,248.4,"$1,149.00",
MUR-DSY-QEN-XX,DAISY MURPHY CABINET ONLY,(Box 1) 27 x 66.7 x 34.4,198.4,$900.00,
MND-GMF-TRI-QEN,GEL MEMORY FOAM TRI FOLD MATTRESS ONLY,(Box 2) 63 x 11 x 11,50,$249.00,
,,,,,
,,,,,
,,,,,
,,,,,
MUR-TRAY-XX,MURPHY TRAY SET,(Box) 21 X 10 X 5,5,$61.00,
,,,,,
,,,,,
,,,,,
,,,,,
SAGB-QEN-XX,SAGEBRUSH MURPHY CABINET COMPLETE,(Bed) 63.5 x 83.1 x 41.1,288.1,"$1,149.00",
MUR-SAGB2-QEN-XX,SAGEBRUSH MURPHY CABINET ONLY,(Box 1) 32.5 x 65.9 x 26.4,238.1,$900.00,
MND-GMF-TRI-QEN,GEL MEMORY FOAM TRI FOLD MATTRESS ONLY,(Box 2) 63 x 11 x 11,50,$249.00,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
POP-QEN-XX,POPPY MURPHY CABINET COMPLETE,(Bed) 63.5 x 83.1 x 41.1,288.1,"$1,149.00",
MUR-POP-QEN-XX,POPPY MURPHY CABINET ONLY,(Box 1) 32.5 x 65.9 x 26.4,238.1,$900.00,
MND-GMF-TRI-QEN,GEL MEMORY FOAM TRI FOLD MATTRESS ONLY,(Box 2) 63 x 11 x 11,50,$249.00,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
MCB-CUB-QEN-XX,MURPHY CUBE COMPLETE,(Bed) 64.1 x 26.4 x 36.6,199,$779.00,
MUR-CUB2-QEN-XX,MURPHY CUBE. CABINET ONLY,(Box 1) 28.7 x 65.7 x 6.9,149,$530.00,
MND-GMF-TRI-QEN,GEL MEMORY FOAM TRI FOLD MATTRESS ONLY,(Box 2) 63 x 11 x 11,50,$249.00,
,,,,,
,,,,,
NAN-TWN-XX,NANTUCKET TWIN SOFA CONVERTIBLE,(Sofa) 52.4 x 35.8 x 33.5,145.67,$465.00,
SS-NAN-ARM-XXX,NANTUCKET TWIN SLEEPER ARM,(Box 1) 13.4 x 36.6 x 22.4,26.5,$105.00,
SS-NAN-TWN-XXX,NANTUCKET TWIN SLEEPER BODY,(Box 2) 48.8 x 40.6 x 18.3,119.17,$360.00,
,,,,,
,,,,,
NAN-FUL-XX,NANTUCKET FULL SOFA CONVERTIBLE,(Sofa) 68.1 x 35.8 x 33.5,179.7,$515.00,
SS-NAN-ARM-XXX,NANTUCKET FULL SLEEPER ARM,(Box 1) 13.4 x 36.6 x 22.4,26.5,$105.00,
SS-NAN-FUL-XXX,NANTUCKET FULL SLEEPER BODY,(Box 2) 48.8 x 56.3 x 18.3,153.2,$410.00,
,,,,,
,,,,,
NAN-QEN-XX,NANTUCKET QUEEN SOFA CONVERTIBLE,(Sofa) 74 x 35.8 x 33.5,192.9,$565.00,
SS-NAN-ARM-XXX,NANTUCKET QUEEN SLEEPER ARM,(Box 1) 13.4 x 36.6 x 22.4,26.5,$105.00,
SS-NAN-QEN-XXX,NANTUCKET QUEEN SLEEPER BODY,(Box 2) 48.8 x 61.4 x 18.3,166.4,$460.00,
,,,,,
,,,,,
BED-COL-QEN-GY,COLUMBIA QUEEN COMPLETE PLATFORM BED,(Bed) 67.5 X 4.13 X 47.83,88,$153.00,
,,(Box 1) 64 x 33 x 5,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
ORN2-FUL-GY-YY,ORION FULL PLATFORM BED,(Bed) 59 x 76 x 41.7,102.1,$266.00,
PH-ORN2-FUL-GY,ORION FULL HEADBOARD,(Box 1) 60.6 x 36.4 x 3.7,26.5,$128.00,
PFR-UPH-FUL-GY,BED RAILS,(Box 2) 77 x 22 x 10,46,$80.00,
PS-FUL,FULL SLATS,(Box 3) 8.5 x 56.3 x  4.5,27.6,$48.00,
PL-YY,BED LEGS,(Box 4) 6 x 5 x 3,2,$10.00,
,,,,,
ORN2-QEN-GY-YY,ORION QUEEN PLATFORM BED,(Bed) 65.3 x 80.7 x 41.7,107.5,$277.00,
PH-ORN2-QEN-XX,ORION QUEEN HEADBOARD,(Box 1)  66.7 x 36.4 x 3.7,26.5,$133.00,
PFR-UPH-QEN-XX,BED RAILS,(Box 2) 82 x 22 x 10,46,$80.00,
PS-QEN,QUEEN SLATS,(Box 3)  8.5 x 62.2 x 4.5,33,$54.00,
PL-YY,BED LEGS,(Box 4) 6 x 5 x 3,2,$10.00,
,,,,,
ORN2-EKG-GY-YY,ORION EASTERN KING PLATFORM BED,(Bed) 81.8 x 80.6 x 41.7,137.6,$328.00,
PH-ORN2-EKG-XX,ORION EASTERN KING HEADBOARD,(Box 1) 82.7 x 36.4 x 3.7,36,$170.00,
PFR-UPH-EKG-XX,BED RAILS,(Box 2) 81.5 x 10.4x 8.5,50,$80.00,
PS-EKG,KING SLATS,(Box 3) 8.5 x 80.3 x  4.5,49.6,$68.00,
PL-YY,BED LEGS,(Box 4) 6 x 5 x 3,2,$10.00,
,,,,,
,,,,,
SAG-TWN-XX-YY,SAGE TWIN PLATFORM BED,(Bed)  44.6 x 76 x 41.7,84.5,$235.00,
PH-SAG-TWN-XX,SAGE TWIN HEADBOARD,(Box 1) 44.9 x 36.4 x 3.7,17.6,$110.00,
PFR-UPH-TWN-XX,BED RAILS,(Box 2)  76.4 x 10.4 x 8.5,44,$77.00,
PS-TWN,TWIN SLATS,(Box 3)  8.5 x 41.3 x  4.5,20.9,$38.00,
PL-YY,BED LEGS,(Box 4) 6 x 5 x 3,2,$10.00,
,,,,,
,,,,,
SAG-FUL-XX-YY,SAGE FULL PLATFORM BED,(Bed) 59 x 76 x 41.7,97.2,$266.00,
PH-SAG-FUL-XX,SAGE FULL HEADBOARD,(Box 1) 60.6 x 36.4 x 3.7,21.6,$128.00,
PFR-UPH-FUL-XX,BED RAILS,(Box 2) 76.4 x 10.4 x 8.5,46,$80.00,
PS-FUL,FULL SLATS,(Box 3) 8.5 x 56.3 x  4.5,27.6,$48.00,
PL-YY,BED LEGS,(Box 4) 6 x 5 x 3,2,$10.00,
,,,,,
SAG-QEN-XX-YY,SAGE QUEEN PLATFORM BED,(Bed) 65.3 x 80.7 x 41.7,105.7,$277.00,
PH-SAG-QEN-XX,SAGE QUEEN HEADBOARD,(Box 1)  66.7 x 36.4 x 3.7,24.7,$133.00,
PFR-UPH-QEN-XX,BED RAILS,(Box 2) 81.5 x 10.4 x 8.5,46,$80.00,
PS-QEN,QUEEN SLATS,(Box 3)  8.5 x 62.2 x 4.5,33,$54.00,
PL-YY,BED LEGS,(Box 4) 6 x 5 x 3,2,$10.00,
,,,,,
SAG-EKG-XX-YY,SAGE EASTERN  KING PLATFORM BED,(Bed) 81.8 x 80.6 x 41.7,130.3,$328.00,
PH-SAG-EKG-XX,SAGE EASTERN KING HEADBOARD,(Box 1) 82.7 x 36.4 x 3.7,28.7,$170.00,
PFR-UPH-EKG-XX,BED RAILS,(Box 2) 81.5 x 10.4x 8.5,50,$80.00,
PS-EKG,KING SLATS,(Box 3) 8.5 x 80.3 x  4.5,49.6,$68.00,
PL-YY,BED LEGS,(Box 4) 6 x 5 x 3,2,$10.00,
,,,,,
,,,,,
SAGDR-FUL-XX-YY,SAGE FULL PLATFORM BED WITH DRAWER,(Bed) 59 x 75.6 x 41.7,122.1,$369.00,
PH-SAG-FUL-XX,SAGE FULL HEADBOARD,(Box 1) 60.6 x 36.4 x 3.7,26.5,$128.00,
PFD-UPH-FUL-XX,BED RAILS & DRAWER FOOTBOARD,(Box 2) 75.8 x 21.1 x 8.9,66,$183.00,
PS-FUL,FULL SLATS,(Box 3) 8.5 x 56.3 x  4.5,27.6,$48.00,
PL-YY,BED LEGS,(Box 4) 6 x 5 x 3,2,$10.00,
,,,,,
SAGDR-QEN-XX-YY,SAGE QUEEN PLATFORM BED WITH DRAWER,(Bed)   65.3 x 80.7 x 41.7,127.5,$380.00,
PH-SAG-QEN-XX,SAGE QUEEN HEADBOARD,(Box 1)  66.7 x 36.4 x 3.7,26.5,$133.00,
PFD-UPH-QEN-XX,BED RAILS & DRAWER FOOTBOARD,(Box 2) 80.9 x 21.1 x 8.9,66,$183.00,
PS-QEN,QUEEN SLATS,(Box 3)  8.5 x 62.2 x 4.5,33,$54.00,
PL-YY,BED LEGS,(Box 4) 6 x 5 x 3,2,$10.00,
,,,,,
,,,,,
PAN-CHR-XX-YY,PANDORA TUB CHAIR,(Chair) 25 x 27 x 35,45,$205.00,
PAN-TCH-XX,TUB CHAIR,(Box 1)  25 x 31 x 31,41,$180.00,
TUB-CHL-YY,LEGS FOR TUB CHAIR (CH - CHO - NA- WH),(Box 2) 13 x 6.2 x 3.1,4,$25.00,
,,,,,
,,,,,
,,,,,
,,,,,
DYB-STL-TWN-LGY,SAINT LAWRENCE DAYBED COMPLETE,(Bed) 81.3 x 42.9 x 31.3,110.7,$257.00,
DB1-STL-TWN-LGY,Saint Lawrence Daybed Arm Set,(Box 1) 43.1 x 28.5 x 5.9,37.7,$52.00,
DB1-STL-TWN-LGY,"Saint-Lawrence Daybed, Back Panel, Rails & Slats & Trundle Bed",(Box 2) 78.1 x14.6 x 7.3,73,$205.00,
,,,,,
ABY-FUL-XX,ALBANY MOONGLIDER FULL FUTON - COMPLETE,(Frame) 79.25 x 37 x 34.87,92.6,$240.00,
BA-ABY-XX,Albany Arm Set,(Arm)  25.8 x 34.4 x 3.1,17.6,$52.00,
BMG-FUL-XX,Moon Glider Full Body,(Body)   34.3 x 76 x 5.3,75,$188.00,
,,,,,
ABY-QEN-XX,ALBANY MOONGLIDER QUEEN FUTON  - COMPLETE,(frame) 84.5 x 38 x 37.12,103.6,$262.00,
BA-ABY-XX,Albany Arm Set,(Arm)  25.8 x 34.4 x 3.1,17.6,$52.00,
BMG-QEN-XX,Moon Glider Queen Body,(Body) 38.2 x 81.1 x 5.3,86,$210.00,
,,,,,
ABY-LST-XX,ALBANY LOVE SEAT LOUNGER FUTON  - COMPLETE,(frame) 60.55 x 38.5 x 34.87,90.4,$247.00,
BA-ABY-XX,Albany Arm Set,(Arm)  25.8 x 34.4 x 3.1,17.6,$52.00,
BL-LST-XX,Love Seat Lounger Body,(Body)   35.6 x 59.1 x 5.1,72.8,$195.00,
,,,,,
ABY-TWN-XX,ALBANY TWIN LOUNGER FUTON - COMPLETE,(frame) 45.45 x 38.5 x 34.87,74.9,$204.00,
BA-ABY-XX,Albany Arm Set,(Arm)  25.8 x 34.4 x 3.1,17.6,$52.00,
BL-TWN-XX,Standard Twin Lounger Body,(Body) 35.6 x 44.1 x 5.1,57.3,$152.00,
,,,,,
,,,,,
AUT-FUL-XX,AUTUMN MOONGLIDER FULL FUTON  - COMPLETE,(Frame) 83.12 x 37.87 x 34.37,115.8,$302.00,
BA-AUT-XX,Autumn Arm Set,(Arm)  28 x 36.7 x 5.5,40.8,$114.00,
BMG-FUL-XX,Moon Glider Full Body,(Body)   34.3 x 76 x 5.3,75,$188.00,
,,,,,
AUT-QEN-XX,AUTUMN MOONGLIDER QUEEN FUTON  - COMPLETE,(Frame) 88.5 x 39.37 x 38,126.8,$324.00,
BA-AUT-XX,Autumn Arm Set,(Arm)  28 x 36.7 x 5.5,40.8,$114.00,
BMG-QEN-XX,Moon Glider Queen Body,(Body) 38.2 x 81.1 x 5.3,86,$210.00,
,,,,,
AUT-LST-XX,AUTUMN LOVE SEAT LOUNGER FUTON - COMPLETE,(Frame) 64.42 x 38.5 x 34.37,113.6,$309.00,
BA-AUT-XX,Autumn Arm Set,(Arm)  28 x 36.7 x 5.5,40.8,$114.00,
BL-LST-XX,Love Seat Lounger Body,(Body)   35.6 x 59.1 x 5.1,72.8,$195.00,
,,,,,
AUT-TWN-XX,AUTUMN TWIN LOUNGER FUTON - COMPLETE,(Frame) 49.32 x 38.5 x 34.37,98.1,$266.00,
BA-AUT-XX,Autumn Arm Set,(Arm)  28 x 36.7 x 5.5,40.8,$114.00,
BL-TWN-XX,Standard Twin Lounger Body,(Body) 35.6 x 44.1 x 5.1,57.3,$152.00,
,,,,,
EUR-FUL-XX,EUREKA MOONGLIDER FULL FUTON - COMPLETE,(Frame) 76 x 39 x  34.37,90.4,$235.00,
BA-EUR-XX,Eureka Arm Set,(Arm)  24 x 34.6 x 2.8,15.4,$47.00,
BMG-FUL-XX,Moon Glider Full Body,(Body)   34.3 x 76 x 5.3,75,$188.00,
,,,,,
